X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
3,4,12,1,92.6,46.5,691.8,132,20.6,24,5.4,0,0
4,3,12,1,92.6,46.5,691.8,371,13.8,50,2.7,0,0
2,5,12,1,92.6,46.5,691.8,514,15.4,35,0.9,0,0
7,3,12,7,90.6,43.7,686.9,265,17.8,27,4,0,0
4,4,12,7,90.6,43.7,686.9,359,18.4,25,3.1,0,0
7,4,12,6,90,41.5,682.6,100,11.3,60,5.4,0,0
3,5,12,4,91.4,37.9,673.8,281,15.9,46,3.6,0,0
6,3,12,3,90.6,35.4,669.1,212,21.7,24,4.5,0,0
7,4,12,3,90.6,35.4,669.1,515,18,33,0.9,0,0
8,5,12,2,84.9,32.8,664.2,154,16.7,47,4.9,0,0
2,5,11,6,90.3,290,855.3,277,16.2,58,3.6,0,0
7,4,11,5,89.7,287.2,849.3,284,19.4,45,3.6,0,0
7,4,11,4,89.7,284.9,844,222,10.5,77,4,0,0
4,5,11,1,91,276.3,825.1,30,13.8,77,7.6,0,0
3,4,11,4,91.2,134.7,817.5,399,18.5,30,2.7,0,0
4,5,11,3,91.1,132.3,812.1,307,16.4,27,3.6,0,0
6,3,11,2,91.5,130.1,807.1,140,12.2,66,4.9,0,0
4,3,11,6,92.5,122,789.7,240,17.3,45,4,0,0
6,3,11,6,92.5,122,789.7,278,15.9,55,3.6,0,0
6,3,11,5,92.8,119,783.5,41,18.9,34,7.2,0,0
6,5,11,4,92.6,115.4,777.1,170,24.3,27,4.9,0,0
6,5,11,3,91.9,111.7,770.3,325,19.6,45,3.1,0,0
2,3,11,2,91.6,108.4,764,106,18,51,5.4,0,0
7,4,11,2,91.6,108.4,764,427,19.3,44,2.2,0,0
2,5,11,2,91.6,108.4,764,428,19.3,44,2.2,0,0
7,4,11,1,92.4,105.8,758.1,403,25.3,27,2.7,0,0
2,4,11,1,92.4,105.8,758.1,457,24.9,27,2.2,0,0
2,4,11,1,92.4,105.8,758.1,473,16,45,1.8,0,0
4,3,11,7,92.2,102.3,751.5,264,23.5,27,4,0,0
1,4,11,7,92.2,102.3,751.5,351,24.2,27,3.1,0,0
3,3,11,7,92.2,102.3,751.5,352,24.2,27,3.1,0,0
5,4,11,7,92.2,102.3,751.5,354,24.1,27,3.1,0,0
4,4,11,6,92.1,99,745.3,57,15.4,53,6.3,0,0
4,4,11,6,92.1,99,745.3,162,20.8,35,4.9,0,0
4,5,11,5,92.4,96.2,739.4,92,18.6,24,5.8,0,0
4,4,11,4,90.1,82.9,735.7,137,12.9,74,4.9,0,0
4,3,11,3,90.3,80.7,730.2,144,17.8,63,4.9,0,0
6,3,11,3,90.3,80.7,730.2,183,18.2,62,4.5,0,0
4,4,11,1,93.5,149.3,728.6,160,22.9,39,4.9,0,0
6,3,11,1,93.5,149.3,728.6,291,22.8,39,3.6,0,0
1,2,11,1,93.5,149.3,728.6,298,25.3,36,3.6,0,0
5,4,11,2,91.8,78.5,724.3,389,19.1,38,2.7,0,0
3,4,11,2,91.8,78.5,724.3,395,18.9,35,2.7,0,0
6,3,11,2,91.8,78.5,724.3,398,21.2,32,2.7,0,0
1,5,11,7,93.4,145.4,721.4,402,29.6,27,2.7,0,0
6,3,11,1,91.7,75.6,718.3,294,17.7,39,3.6,0,0
7,4,11,1,89.6,84.1,714.3,104,17.1,53,5.4,0,0
6,5,11,6,93.3,141.2,713.9,110,22.9,44,5.4,0,0
3,4,11,6,93.3,141.2,713.9,280,18.6,49,3.6,0,0
7,5,11,7,92.8,73.2,713,251,19.3,38,4,0,0
6,3,11,2,88.6,91.8,709.9,29,11.2,78,7.6,0,0
1,3,11,2,88.6,91.8,709.9,53,12.4,73,6.3,0,0
6,3,11,6,88.6,69.7,706.8,480,20.6,37,1.8,0,0
2,4,11,1,50.4,46.2,706.6,52,12.2,78,6.3,0,0
1,2,11,5,92.9,137,706.4,445,22.4,34,2.2,0,0
1,2,11,5,92.9,137,706.4,456,25.4,27,2.2,0,0
4,3,11,5,92.9,137,706.4,459,27.7,24,2.2,0,0
4,5,11,5,92.9,137,706.4,485,22.1,34,1.8,0,0
4,4,11,5,92.9,137,706.4,504,20.8,17,1.3,0,0
3,4,11,1,89.7,90,704.4,292,22.8,39,3.6,0,0
8,5,11,1,89.7,90,704.4,412,17.8,67,2.2,0,0
6,5,11,4,92.9,133.3,699.6,216,26.4,21,4.5,0,0
7,5,11,7,92.5,88,698.6,39,17.8,51,7.2,0,0
7,5,11,7,92.5,88,698.6,248,22.8,40,4,0,0
4,4,11,7,92.5,88,698.6,373,19.6,48,2.7,0,0
3,4,11,3,91,129.5,692.6,55,13.9,59,6.3,0,0
8,6,11,3,91,129.5,692.6,97,13.1,63,5.4,0,0
3,4,11,6,94.3,85.1,692.3,107,19.8,50,5.4,0,0
5,4,11,6,94.3,85.1,692.3,151,20.1,47,4.9,0,0
7,4,11,6,94.3,85.1,692.3,152,20.1,47,4.9,0,0
5,6,11,4,94.3,85.1,692.3,268,25.9,24,4,0,0
5,6,11,2,90.9,126.5,686.5,273,14.7,70,3.6,0,0
3,6,11,2,90.9,126.5,686.5,313,15.6,66,3.1,0,0
6,5,11,2,90.9,126.5,686.5,432,21.3,42,2.2,0,0
1,5,11,2,90.9,126.5,686.5,433,21,42,2.2,0,0
8,3,11,5,93.7,80.9,685.2,174,23.2,26,4.9,0,0
1,3,11,1,92.4,124.1,680.7,49,23.9,32,6.7,0,0
3,4,11,1,92.4,124.1,680.7,113,22.5,42,5.4,0,0
2,4,11,7,92.5,121.1,674.4,206,24.1,29,4.5,0,0
8,3,11,3,84.4,73.4,671.9,305,24.2,28,3.6,0,0
2,2,11,6,92.4,117.9,668,63,19.6,33,6.3,0,0
6,5,11,6,92.4,117.9,668,64,19.6,33,6.3,0,0
7,4,11,6,92.4,117.9,668,88,19,34,5.8,0,0
7,4,11,6,92.4,117.9,668,89,19,34,5.8,0,0
1,4,10,6,90.6,269.8,811.2,282,22.2,45,3.6,0,0
4,5,10,5,89.4,266.2,803.3,320,17.4,54,3.1,0,0
8,6,10,7,89.4,253.6,768.4,364,14.2,73,2.7,0,0
2,4,10,5,91.6,248.4,753.8,367,16.6,59,2.7,0,0
9,6,10,5,91.6,248.4,753.8,368,20.5,58,2.7,0,0
2,2,10,5,91.6,248.4,753.8,413,20.4,56,2.2,0,0
8,6,10,5,91.6,248.4,753.8,414,20.4,56,2.2,0,0
5,4,10,6,91,166.9,752.6,7.1,21.1,71,7.6,1.4,0
1,2,10,6,91,166.9,752.6,15,18.5,73,8.5,0,0
6,5,10,6,91,166.9,752.6,98,18.2,62,5.4,0,0
7,4,10,2,91.5,238.2,730.6,224,17.7,65,4,0,0
2,4,10,1,93.6,235.1,723.1,139,20.9,66,4.9,0,0
8,6,10,7,93.7,231.1,715.1,142,18.9,64,4.9,0,0
8,6,10,7,93.7,231.1,715.1,143,18.9,64,4.9,0,0
1,2,10,7,93.7,231.1,715.1,345,25.9,32,3.1,0,0
2,2,10,7,93.7,231.1,715.1,431,21.9,42,2.2,0,0
7,4,10,6,94.8,227,706.7,342,23.3,34,3.1,0,0
6,4,10,6,94.8,227,706.7,343,23.3,34,3.1,0,0
7,4,10,1,91.8,175.1,700.7,13.8,21.9,73,7.6,1,0
8,6,10,5,94.8,222.4,698.6,48,23.9,38,6.7,0,0
1,3,10,5,94.8,222.4,698.6,87,26.2,34,5.8,0,0
8,6,10,5,94.8,222.4,698.6,169,27.5,27,4.9,0,0
5,4,10,5,94.8,222.4,698.6,381,20.3,42,2.7,0,0
2,5,10,5,87.5,77,694.8,237,22.3,46,4,0,0
7,4,10,7,91.8,170.9,692.3,477,23.7,40,1.8,0,0
2,4,10,4,95.2,217.7,690,218,30.8,19,4.5,0,0
2,2,10,3,94.6,212.1,680.9,455,27.9,27,2.2,0,0
8,6,10,2,92.1,207,672.6,415,21.1,54,2.2,0,0
4,4,10,3,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,0
6,5,10,3,96.1,181.1,671.2,404,33.3,26,2.7,0,0
3,4,10,3,96.1,181.1,671.2,453,32.3,27,2.2,0,0
6,5,10,4,93.1,157.3,666.7,296,22.1,37,3.6,0,0
7,4,10,1,81.6,56.7,665.6,44,21.2,70,6.7,0,0
6,5,10,6,63.5,70.8,665.3,43,17,72,6.7,0,0
2,4,10,1,92,203.2,664.5,112,24.9,42,5.4,0,0
4,5,10,1,92,203.2,664.5,506,10.4,75,0.9,0,0
4,5,10,2,96.2,175.5,661.8,356,32.6,26,3.1,0,0
2,2,10,5,91.7,114.3,661.3,192,18.6,44,4.5,0,0
1,2,10,5,91.7,114.3,661.3,283,20.2,45,3.6,0,0
4,3,10,5,91.7,114.3,661.3,286,17.6,45,3.6,0,0
8,6,10,3,92.1,152.6,658.2,184,20.1,58,4.5,0,0
2,5,10,3,92.1,152.6,658.2,235,20.2,47,4,0,0
4,3,10,4,92.1,111.2,654.1,158,20.4,42,4.9,0,0
4,3,10,4,92.1,111.2,654.1,159,20.4,42,4.9,0,0
2,4,10,4,92.1,111.2,654.1,254,20.5,35,4,0,0
2,2,10,3,94.8,108.3,647.1,46,17.4,43,6.7,0,0
4,4,10,3,94.8,108.3,647.1,103,16.6,54,5.4,0,0
1,2,10,3,94.8,108.3,647.1,187,18.6,51,4.5,0,0
8,6,10,5,90.7,194.1,643,290,21.3,41,3.6,0,0
2,2,10,2,91.1,103.2,638.8,347,23.1,31,3.1,0,0
8,6,10,2,91.1,103.2,638.8,406,23.4,22,2.7,0,0
1,3,10,6,95.9,158,633.6,205,27.5,29,4.5,0,0
8,6,10,1,90.2,99.6,631.2,316,16.2,59,3.1,0,0
4,5,10,1,90.2,99.6,631.2,344,21.4,33,3.1,0,0
2,5,10,1,90.2,99.6,631.2,378,19.2,44,2.7,0,0
2,2,10,1,90.2,99.6,631.2,396,20.8,33,2.7,0,0
4,4,10,7,90.2,96.9,624.2,47,18.4,42,6.7,0,0
6,5,10,7,90.2,96.9,624.2,72,14.7,59,5.8,0,0
4,4,10,5,95.8,152,624.1,215,32.4,21,4.5,0,0
1,4,10,7,94.4,146,614.7,245,25.6,42,4,0,0
3,4,10,3,88.8,147.3,614.5,95,14.4,66,5.4,0,0
8,6,10,3,88.8,147.3,614.5,96,14.4,66,5.4,0,0
2,4,10,1,91.6,181.3,613,420,20.9,50,2.2,0,0
3,4,10,2,91.5,145.4,608.2,111,17.1,43,5.4,0,0
8,6,10,2,91.5,145.4,608.2,407,8,86,2.2,0,0
3,4,10,2,91.5,145.4,608.2,408,10.3,74,2.2,0,0
5,4,10,3,95.1,141.3,605.8,300,26.4,34,3.6,0,0
4,4,10,4,95.1,141.3,605.8,493,20.6,58,1.3,0,0
1,2,10,1,91.4,142.4,601.4,61,19.5,39,6.3,0,0
8,6,10,1,91.4,142.4,601.4,83,19.6,41,5.8,0,0
7,4,10,1,91.4,142.4,601.4,99,16.3,60,5.4,0,0
7,4,10,1,91.4,142.4,601.4,119,20.1,39,5.4,0,0
3,4,10,1,91.4,142.4,601.4,120,19.8,39,5.4,0,0
3,4,10,1,91.4,142.4,601.4,121,19.8,39,5.4,0,0
2,2,10,7,93.5,139.4,594.2,42,22.9,31,7.2,0,0
7,4,10,7,93.5,139.4,594.2,70,5.1,96,5.8,0,0
8,6,10,1,94.9,130.3,587.1,130,31,27,5.4,0,0
1,2,10,3,91,121.2,561.6,50,21.6,19,6.7,0,0
7,4,10,7,90.2,110.9,537.4,81,19.5,43,5.8,0,0
8,6,10,6,90.1,108,529.8,14,21.2,51,8.9,0,0
8,6,10,2,92.3,88.9,495.6,353,24.1,27,3.1,0,0
8,6,10,1,92.3,85.3,488,65,20.8,32,6.3,0,0
8,6,10,1,92.3,85.3,488,128,22.2,29,5.4,0,0
2,2,10,5,93,75.3,466.6,164,18.8,35,4.9,0,0
3,4,10,5,93,75.3,466.6,340,19.6,36,3.1,0,0
5,5,10,1,94,47.9,100.7,181,17.3,80,4.5,0,0
3,4,9,2,94.6,160,567.2,374,17.9,48,2.7,0,0
9,9,9,5,93.2,114.4,560,210,30.2,25,4.5,0,0
3,4,9,4,91.9,133.6,520.5,227,14.2,58,4,0,0
7,4,9,7,91.6,104.2,474.9,372,22.1,49,2.7,0,0
2,5,9,7,91.6,104.2,474.9,467,18.7,53,1.8,0,0
7,4,9,7,91.6,104.2,474.9,486,24.2,32,1.8,0,0
7,4,9,7,91.6,104.2,474.9,487,24.3,30,1.8,0,0
1,4,9,3,92.3,96.2,450.2,127,23.4,31,5.4,0,0
6,6,9,2,94.2,62.3,442.9,339,23,36,3.1,0,0
7,6,9,4,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0
2,5,9,1,93.9,169.7,411.8,60,23.4,40,6.3,0,0
2,5,9,7,90.8,84.7,376.6,469,23.8,51,1.8,0,0
1,2,9,6,90.7,80.9,368.3,23,14.8,78,8,0,0
4,4,9,3,79.5,60.6,366.7,336,23.3,37,3.1,0,0
7,5,8,1,93.1,180.4,430.8,495,22.2,48,1.3,0,0
8,6,8,4,91.2,147.8,377.2,156,19.6,43,4.9,0,0
6,5,8,2,90.4,93.3,298.1,122,19.1,39,5.4,0,0
9,5,8,4,93.3,49.5,297.7,199,28,34,4.5,0,0
6,4,8,1,90.4,89.5,290.8,472,14.3,46,1.8,0,0
6,5,8,7,53.4,71,233.8,363,10.6,90,2.7,0,0
3,6,8,6,91.1,94.1,232.1,195,19.2,38,4.5,0,0
3,6,8,6,91.1,94.1,232.1,196,19.2,38,4.5,0,0
7,4,8,1,94.3,96.3,200,191,21,44,4.5,0,0
6,5,7,7,85.1,28,113.8,135,11.3,94,4.9,0,0
6,4,6,7,86.3,27.4,97.1,193,9.3,44,4.5,0,0
4,4,6,6,83,23.3,85.3,362,16.7,20,3.1,0,0
6,3,6,1,91,14.6,25.6,12,13.7,33,9.4,0,0
5,4,6,1,91,14.6,25.6,91,17.6,27,5.8,0,0
7,5,6,1,81.9,3,7.9,462,13.4,75,1.8,0,0
4,4,5,2,87.6,52.2,103.8,77,11,46,5.8,0,0
7,3,5,2,87.6,52.2,103.8,78,11,46,5.8,0,0
4,3,5,2,87.6,52.2,103.8,79,11,46,5.8,0,0
2,2,5,1,89.3,51.3,102.2,56,5.5,59,6.3,0,0
2,2,5,1,89.3,51.3,102.2,85,11.5,39,5.8,0,0
8,6,5,1,89.3,51.3,102.2,86,11.5,39,5.8,0,0
4,6,5,1,89.3,51.3,102.2,155,10.6,46,4.9,0,0
6,5,5,6,91.2,48.3,97.8,13,14.6,26,9.4,0,0
7,5,5,6,86.2,26.2,94.3,45,8.2,51,6.7,0,0
5,4,5,2,90.1,39.7,86.6,116,13.2,40,5.4,0,0
3,4,5,7,91.7,35.8,80.8,66,11.6,30,6.3,0,0
5,5,5,7,91.7,35.8,80.8,131,15.1,27,5.4,0,0
8,6,5,6,91.7,35.8,80.8,133,17.4,24,5.4,0,0
4,4,5,7,91.7,35.8,80.8,171,17,27,4.9,0,0
4,4,5,7,91.7,35.8,80.8,172,17,27,4.9,0,0
8,6,5,6,91.7,33.3,77.5,9,8.3,97,4,0.2,0
5,4,5,6,91.7,33.3,77.5,69,15.6,25,6.3,0,0
4,5,5,6,91.7,33.3,77.5,209,17.2,26,4.5,0,0
3,4,5,6,91.7,33.3,77.5,219,18.8,18,4.5,0,0
4,5,5,5,91.4,30.7,74.3,348,18.2,29,3.1,0,0
6,4,5,4,89.2,27.9,70.8,255,15.9,35,4,0,0
3,4,5,3,88.1,25.7,67.6,37,15.8,27,7.6,0,0
3,5,5,3,88.1,25.7,67.6,68,15.5,27,6.3,0,0
4,4,5,3,88.1,25.7,67.6,380,14.1,43,2.7,0,0
3,5,5,3,88.1,25.7,67.6,390,14.9,38,2.7,0,0
4,6,5,2,87.2,23.9,64.7,335,14,39,3.1,0,0
4,4,5,2,87.2,23.9,64.7,484,11.8,35,1.8,0,0
4,5,5,6,85.9,19.5,57.3,58,12.7,52,6.3,0,0
4,4,5,6,85.9,19.5,57.3,82,13.7,43,5.8,0,0
6,5,5,5,91.3,20.6,43.5,308,13.3,27,3.6,0,0
6,5,5,5,90.9,18.9,30.6,76,8.7,51,5.8,0,0
5,5,5,5,90.9,18.9,30.6,109,11.6,48,5.4,0,0
3,4,5,4,93.4,17.3,28.3,27,8.9,35,8,0,0
6,5,5,4,93.4,17.3,28.3,93,13.8,24,5.8,0,0
3,4,5,7,69,2.4,15.5,134,17.4,24,5.4,0,0
6,3,4,1,84.9,27.5,353.5,230,4.2,51,4,0,0
4,6,4,7,68.2,21.5,87.2,385,15.4,40,2.7,0,0
4,5,4,7,84.7,8.2,55,238,14.2,46,4,0,0
6,3,4,6,84.1,7.3,52.8,383,14.7,42,2.7,0,0
6,5,4,2,84.1,4.6,46.7,463,5.3,68,1.8,0,0
9,9,4,6,86.6,13.2,43,330,15.7,43,3.1,0,0
2,2,4,6,86.6,13.2,43,509,12.3,51,0.9,0,0
2,2,4,2,84,9.3,34,115,13.9,40,5.4,0,0
3,4,4,7,83.9,8,30.2,470,12.7,48,1.8,0,0
9,9,4,5,84.2,6.8,26.6,310,6.7,79,3.1,0,0
4,5,3,1,18.7,1.1,171.4,505,5.2,100,0.9,0,0
2,4,3,7,82.1,3.7,9.3,311,5.3,78,3.1,0,0
6,3,1,3,79.5,3,106.7,204,11.8,31,4.5,0,0
5,4,10,1,91.8,175.1,700.7,117,25.7,39,5.4,0,0.09
6,5,10,3,94.3,131.7,607.1,228,19.4,55,4,0,0.17
3,4,10,4,93.1,157.3,666.7,518,21.7,40,0.4,0,0.21
8,6,10,4,93.1,157.3,666.7,400,28.7,28,2.7,0,0.24
1,3,11,6,91.1,91.3,738.1,423,19.1,46,2.2,0,0.33
9,9,9,3,85.8,48.3,313.4,382,18,42,2.7,0,0.36
3,4,11,1,89.6,84.1,714.3,299,23.8,35,3.6,0,0.41
2,5,11,3,91,129.5,692.6,323,17.6,46,3.1,0,0.43
1,2,10,6,91,166.9,752.6,289,25.9,41,3.6,0,0.43
4,4,11,2,90.9,126.5,686.5,439,17.7,39,2.2,0,0.47
7,4,11,6,88.2,55.2,732.3,314,15.2,64,3.1,0,0.52
3,4,10,3,92.1,152.6,658.2,346,21,32,3.1,0,0.52
8,6,10,2,92.1,207,672.6,489,25.5,29,1.8,0,0.54
2,5,10,4,95.5,99.9,513.3,126,23.8,32,5.4,0,0.55
1,2,10,6,90.1,108,529.8,365,14.7,66,2.7,0,0.61
8,5,10,4,93.1,157.3,666.7,358,26.8,25,3.1,0,0.68
8,6,10,7,94.2,117.2,581.1,435,23.9,41,2.2,0,0.68
1,2,9,7,90,51.3,296.3,105,16.6,53,5.4,0,0.71
1,3,11,7,91.2,94.3,744.4,234,22.3,48,4,0,0.72
